# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                | flagCoding    | flags                               | ancilliaryBandName | gridPointData | dimensionNames
# geophysical parameters                                                                                                                                            *
  *       | Equiv_ftprt_diam        | Equiv_ftprt_diam        | *     | *           | *             | *             | 30.0      | 90.0       | *      | -999.0    | *         | km        | Equivalent footprint diameter                                                                                                             | *             | *                                   | *                  | true          | n_grid_points
  *       | Mean_acq_time           | Mean_Acq_Time           | *     | *           | *             | *             | 2610.0    | 2615.0     | *      | -999.0    | *         | dd        | Mean acquisition time                                                                                                                     | *             | *                                   | *                  | true          | n_grid_points
  *       | SSS_corr                | SSS_corr                | *     | *           | *             | *             | 0.0       | 40.0       | *      | -999.0    | *         | psu       | Sea surface salinity corrected for land-sea contamination                                                                                 | *             | *                                   | Sigma_SSS_corr     | true          | n_grid_points
  *       | Sigma_SSS_corr          | Sigma_SSS_corr          | *     | *           | *             | *             | 0.1       | 1.5        | *      | -999.0    | *         | psu       | Theoretical uncertainty computed for SSS_corr                                                                                             | *             | *                                   | *                  | true          | n_grid_points
  *       | SSS_uncorr              | SSS_uncorr              | *     | *           | *             | *             | 0.0       | 40.0       | *      | -999.0    | *         | psu       | Sea surface salinity without land-sea correction                                                                                          | *             | *                                   | Sigma_SSS_uncorr   | true          | n_grid_points
  *       | Sigma_SSS_uncorr        | Sigma_SSS_uncorr        | *     | *           | *             | *             | 0.1       | 1.5        | *      | -999.0    | *         | psu       | Theoretical uncertainty computed for SSS_uncorr                                                                                           | *             | *                                   | *                  | true          | n_grid_points
  *       | SSS_anom                | SSS_anom                | *     | *           | *             | *             | 0.0       | 40.0       | *      | -999.0    | *         | psu       | Sea surface salinity anomaly = SSS_corr minus climatology                                                                                 | *             | *                                   | Sigma_SSS_anom     | true          | n_grid_points
  *       | Sigma_SSS_anom          | Sigma_SSS_anom          | *     | *           | *             | *             | 0.1       | 1.5        | *      | -999.0    | *         | psu       | Theoretical uncertainty computed for SSS_anom                                                                                             | *             | *                                   | *                  | true          | n_grid_points
  *       | Acard                   | A_card                  | *     | *           | *             | *             | 0.1       | 70.0       | *      | -999.0    | *         | *         | Effective Acard retrieved with minimalistic model                                                                                         | *             | *                                   | Sigma_Acard        | true          | n_grid_points
  *       | Sigma_Acard             | Sigma_Acard             | *     | *           | *             | *             | 0.1       | 1.0        | *      | -999.0    | *         | *         | Theoretical uncertainty computed for Acard                                                                                                | *             | *                                   | *                  | true          | n_grid_points
  *       | WS                      | WS                      | *     | *           | *             | *             | 0.0       | 30.0       | *      | -999.0    | *         | m s-1     | Equivalent neutral wind speed as derived from ECMWF                                                                                       | *             | *                                   | *                  | true          | n_grid_points
  *       | SST                     | SST                     | *     | *           | *             | *             | 0.0       | 20.0       | *      | -999.0    | *         | °C        | Sea Surface Temperature as derived from ECMWF                                                                                             | *             | *                                   | *                  | true          | n_grid_points
  *       | TBH                     | Tb_42.5H                | *     | *           | *             | *             | 70.0      | 130.0      | *      | -999.0    | *         | K         | Brightness temperature at surface level derived with default forward model and retrieved geophysical parameters, H polarisation direction | *             | *                                   | Sigma_TBH          | true          | n_grid_points
  *       | Sigma_TBH               | Sigma_Tb_42.5H          | *     | *           | *             | *             | 0.1       | 0.8        | *      | -999.0    | *         | K         | Theoretical uncertainty computed for TBH                                                                                                  | *             | *                                   | *                  | true          | n_grid_points
  *       | TBV                     | Tb_42.5V                | *     | *           | *             | *             | 70.0      | 130.0      | *      | -999.0    | *         | K         | Brightness temperature at surface level derived with default forward model and retrieved geophysical parameters, V polarisation direction | *             | *                                   | Sigma_TBV          | true          | n_grid_points
  *       | Sigma_TBV               | Sigma_Tb_42.5V          | *     | *           | *             | *             | 0.1       | 0.8        | *      | -999.0    | *         | K         | Theoretical uncertainty computed for TBV                                                                                                  | *             | *                                   | *                  | true          | n_grid_points
